"Species","variable","value.Barbilla","value.Cola","value.Corona","value.Esp_Inf","value.Esp_Med","value.Esp_Sup","value.Frente","value.Garganta","value.Hombro","value.Nuca","value.Panza","value.Parche_Malar","value.Pecho","value.Peso","Peso_log2"
"Chlorestes julie","VIS",1.9839453125,3.0029296875,0.09450984375,5.279765625,0.20183056640625,0.06240891796875,0.15042283984375,0.8206224609375,0.164731818359375,0.0832119140625,4.1485546875,0.46751974609375,1.492990234375,4,2
"Chlorestes julie","NIR",5.84681732580038,4.16338983050847,0.526182128060264,8.88442561205273,1.8786186440678,0.712244595103578,0.774345197740113,2.73834274952919,1.53513370998117,0.483272871939736,5.47960451977401,1.49182674199623,3.59199623352166,4,2
"Chlorophanes spiza","UV",0.80914880952381,1.63472023809524,0.174433630952381,2.86875,1.1001130952381,2.14785714285714,0.696430952380952,1.42853571428571,1.68549404761905,0.391933392857143,4.77339285714286,0.595857785714286,3.2410119047619,16,4
"Chlorophanes spiza","VIS",5.102681640625,3.16751953125,0.11181772265625,6.59341796875,4.919453125,7.773125,0.646552734375,3.02845703125,3.3483203125,0.5594240234375,5.211328125,1.0458359375,4.4359765625,16,4
"Chlorophanes spiza","NIR",1.89367796610169,4.87103578154426,0.481812662900188,7.90504708097928,5.22514124293785,6.60199623352166,1.78198116760829,3.13414312617702,5.19653483992467,1.58689077212806,8.75960451977401,1.30366854990584,8.04841807909605,16,4
"Claravis pretiosa","UV",15.3213095238095,17.772619047619,6.69125,14.1952380952381,12.122619047619,5.53083333333333,3.84446428571429,45.8869047619048,0.952211904761905,2.35529761904762,49.5047619047619,14.4033333333333,47.2761904761905,55,5.78135971352466
"Claravis pretiosa","VIS",13.691015625,13.429296875,6.25130859375,11.29921875,9.45900390625,5.5241796875,5.7691796875,39.841015625,1.129259765625,2.849765625,42.80234375,13.4060546875,42.4474609375,55,5.78135971352466
"Claravis pretiosa","NIR",11.0776836158192,16.2154425612053,8.11389830508475,15.4666666666667,12.830922787194,7.190131826742,7.94305084745763,32.4169491525424,2.24848210922787,4.94721280602637,43.6129943502825,11.4421845574388,41.8273069679849,55,5.78135971352466
"Coereba flaveola","UV",4.2939880952381,3.68190476190476,-0.0662081607142857,2.58338095238095,1.38130261904762,3.65071428571429,0.021783630952381,3.98235119047619,6.59922619047619,1.5155505952381,6.81416666666667,1.78699404761905,4.05270238095238,16,4
"Coereba flaveola","VIS",6.02367578125,4.95413671875,0.214488181640625,3.9469921875,1.95228125,3.761484375,0.2649429296875,7.049515625,7.96193359375,2.053658203125,10.58337890625,2.97974609375,14.716357421875,16,4
"Coereba flaveola","NIR",9.1415065913371,10.6159133709981,0.751294538606403,6.26935969868173,3.8239077212806,5.24967984934087,0.878107156308851,10.9364783427495,15.0185122410546,3.77376836158192,13.6263653483992,5.64806026365348,27.2743879472693,16,4
"Columbina talpacoti","UV",15.3734523809524,6.5277380952381,1.01390476190476,1.12970535714286,3.24551785714286,3.35069458333333,0.834524821428571,7.06875,0.356857797619048,3.41314880952381,10.8220238095238,1.75501785714286,9.47476190476191,46,5.52356195605701
"Columbina talpacoti","VIS",29.42109375,10.33291015625,2.07328125,2.39352734375,6.5755078125,6.26431640625,2.5819375,9.80759765625,0.62378236328125,6.59095703125,15.016796875,4.386875,19.3705078125,46,5.52356195605701
"Columbina talpacoti","NIR",30.4425612052731,26.0178907721281,6.1695856873823,7.96883239171375,18.4796610169492,12.9761393596987,7.63297551789077,12.1870056497175,3.84776082862524,13.3602259887006,24.5625235404896,8.43706214689266,37.3998116760829,46,5.52356195605701
"Contopus cinereus","UV",11.233630952381,9.03732142857143,1.27865476190476,1.11409523809524,1.59258928571429,2.79363095238095,-0.0180688095238095,13.2879166666667,0.759589285714286,1.72619047619048,16.9986904761905,1.42274404761905,5.69107142857143,15,3.90689059560852
"Contopus cinereus","VIS",18.6900390625,11.101875,2.5815625,2.19178125,3.28646484375,4.92955078125,0.306639046875,24.5048828125,1.9552421875,2.91939453125,20.27109375,4.5970703125,10.45333984375,15,3.90689059560852
"Contopus cinereus","NIR",20.5248587570621,19.0792843691149,6.08305084745763,5.7613747645951,8.44856873822975,9.99738229755179,2.2411450094162,28.1305084745763,6.34064030131827,6.49960451977401,24.3256120527307,11.2009416195857,16.5103578154426,15,3.90689059560852
"Cyanoloxia cyanoides","UV",2.50422619047619,2.81160714285714,0.15233575,0.136978214285714,2.62803571428571,1.62828571428571,0.233766785714286,0.14820794047619,4.79857142857143,1.9926130952381,0.619858928571429,0.13436255952381,0.788341428571429,15,3.90689059560852
"Cyanoloxia cyanoides","VIS",4.70341796875,3.007546875,0.573361328125,0.638769708984375,3.276525390625,4.283357421875,0.68961185546875,1.6644583984375,6.9571875,4.18520265625,5.2201015625,1.24356259765625,4.437330078125,15,3.90689059560852
"Cyanoloxia cyanoides","NIR",9.41822975517891,7.39595103578154,3.54956685499058,4.80209039548023,6.4595856873823,11.2241054613936,3.68007532956686,10.3089265536723,15.5304896421846,10.2899058380414,16.0689265536723,7.95514124293785,14.2712617702448,15,3.90689059560852
"Cyclarhis gujanensis ","UV",10.6981547619048,1.35564285714286,0.311112315476191,6.05130952380952,1.74688095238095,3.76869047619048,2.22666666666667,10.9103571428571,0.465304761904762,1.08511904761905,23.2147619047619,4.88065476190476,3.68555357142857,30,4.90689059560852
"Cyclarhis gujanensis ","VIS",18.4544921875,2.192,1.2327537109375,7.76724609375,2.453998046875,5.002890625,4.760078125,18.01927734375,0.79495166015625,1.707654296875,37.0453125,8.09103515625,6.01298828125,30,4.90689059560852
"Cyclarhis gujanensis ","NIR",23.6798493408663,6.28188323917137,3.70062146892655,13.026120527307,5.75474576271186,10.0139548022599,10.0076459510358,24.8482109227872,3.70689265536723,3.51250470809793,39.3566854990584,12.7936534839925,9.30421845574388,30,4.90689059560852
